version,aim_sigma_sum,contact,fair,familiar,pitch,quality_sum,rating,swings,timing_miss,trials,x
before,24.3555598907665,45,33,mixed,pitch.eephus,14.2916274003573,3,83,0,96,-0.35
before,24.3173487624526,52,42,fresh,pitch.eephus,16.8872573442872,5,80,0,96,-0.35
before,15.2640268317706,77,74,repeat,pitch.eephus,34.0896866179429,5,91,0,96,-0.35
before,21.6675065765873,62,47,mixed,pitch.eephus,21.9208062022908,5,83,0,96,-0.35
before,20.285252599746,73,67,fresh,pitch.eephus,29.9501943216107,8,80,0,96,-0.35
before,11.231990674533,91,87,repeat,pitch.eephus,50.8082447155671,8,91,0,96,-0.35
before,17.6352734778762,79,77,mixed,pitch.eephus,36.2435636703737,8,83,0,96,-0.35
before,24.4026115536839,42,30,fresh,pitch.eephus,14.2578282101868,3,86,0,96,0.0
before,15.3496936989546,74,61,repeat,pitch.eephus,28.3525751606944,3,96,0,96,0.0
before,21.7530660913974,49,36,mixed,pitch.eephus,16.4039007333474,3,90,0,96,0.0
before,21.7144185207486,60,42,fresh,pitch.eephus,21.210402365458,5,86,0,96,0.0
before,12.6615512919694,90,72,repeat,pitch.eephus,39.4178491703771,5,96,0,96,0.0
before,19.0648071737975,72,50,mixed,pitch.eephus,26.1933450188795,5,90,0,96,0.0
before,17.6820034801662,78,74,fresh,pitch.eephus,35.6108999451161,8,86,0,96,0.0
before,8.62882263293564,96,96,repeat,pitch.eephus,57.4610089877846,8,96,0,96,0.0
before,15.0322239770383,85,76,mixed,pitch.eephus,41.5244428902466,8,90,0,96,0.0
before,27.0053405340866,38,23,fresh,pitch.eephus,11.3597160486202,3,80,0,96,0.35
before,17.9521372584051,70,46,repeat,pitch.eephus,23.8229100960988,3,91,0,96,0.35
before,22.7364494041577,52,37,mixed,pitch.eephus,16.3316548759387,3,86,0,96,0.35
before,24.3173487624526,52,40,fresh,pitch.eephus,16.8884939456415,5,80,0,96,0.35
before,15.2640268317706,77,74,repeat,pitch.eephus,34.3002445060982,5,91,0,96,0.35
before,20.0482266638354,73,53,mixed,pitch.eephus,25.1941671855467,5,86,0,96,0.35
before,20.285252599746,73,68,fresh,pitch.eephus,30.1011915594775,8,80,0,96,0.35
before,11.231990674533,91,86,repeat,pitch.eephus,51.0514995826748,8,91,0,96,0.35
before,16.0161917168573,81,81,mixed,pitch.eephus,40.3353302723423,8,86,0,96,0.35
before,30.72,6,6,fresh,pitch.eephus,1.92271497949552,3,13,0,96,0.85
before,28.2071867525101,5,5,repeat,pitch.eephus,2.05185966336337,3,11,0,96,0.85
before,30.72,5,5,mixed,pitch.eephus,1.67116729331455,3,12,0,96,0.85
before,30.72,8,6,fresh,pitch.eephus,2.36081775309473,5,13,0,96,0.85
before,25.5190331203461,7,6,repeat,pitch.eephus,2.78148168516147,5,11,0,96,0.85
before,30.7097898434162,7,5,mixed,pitch.eephus,1.96466581072373,5,12,0,96,0.85
before,30.3187909805775,11,8,fresh,pitch.eephus,3.07030526813877,8,13,0,96,0.85
before,21.4862390088558,10,9,repeat,pitch.eephus,3.98567406364473,8,10,0,96,0.85
before,27.8881510347366,11,9,mixed,pitch.eephus,3.32871449695983,8,12,0,96,0.85
before,30.3713894925539,5,4,fresh,pitch.knuckleball,1.287144157884,3,15,0,96,-0.85
before,25.9924513384467,8,7,repeat,pitch.knuckleball,2.60692479047456,3,15,0,96,-0.85
before,30.3713894925539,5,4,mixed,pitch.knuckleball,1.287144157884,3,15,0,96,-0.85
